bayesian	('bayesian',)
also~called~law~pages	('law~also~called~pages',)
are	('are',)
are~the	('the~are', 'are~the')
are~called~the	('called~the~are', 'are~called~the')
also~are~called~the	('also~called~the~are',)
first~much	('first~much',)
first~much~the	('the~first~much',)
called~first~much~the	('called~the~first~much',)
more	('more',)
digit~more	('digit~more',)
digit~first~more	('first~digit~more',)
digit~first~more~the	('the~first~digit~more',)
worn	('worn',)
law~worn	('law~worn',)
digit~law~worn	('digit~law~worn',)
digit~first~law~worn	('first~digit~law~worn',)
and~first	('first~and', 'and~first')
and~first~law	('law~first~and',)
and~digit~first~law	('digit~law~first~and',)
smudged	('smudged',)
digit~smudged	('digit~smudged',)
digit~first~smudged	('first~digit~smudged',)
digit~first~law~smudged	('law~first~digit~smudged',)
phenomenon~than	('phenomenon~than',)
digit~phenomenon~than	('digit~phenomenon~than',)
digit~first~phenomenon~than	('first~digit~phenomenon~than',)
later	('later',)
later~or	('or~later',)
later~or~phenomenon	('phenomenon~or~later',)
digit~later~or~phenomenon	('digit~phenomenon~or~later',)
leading~pages	('leading~pages',)
leading~or~pages	('or~leading~pages',)
leading~or~pages~phenomenon	('phenomenon~or~leading~pages',)
newcomb	('newcomb',)
digit~newcomb	('digit~newcomb',)
digit~leading~newcomb	('leading~digit~newcomb',)
digit~leading~newcomb~or	('or~leading~digit~newcomb',)
while	('while',)
phenomenon~while	('phenomenon~while',)
digit~phenomenon~while	('digit~phenomenon~while',)
digit~leading~phenomenon~while	('leading~digit~phenomenon~while',)
unquestionably	('unquestionably',)
states~unquestionably	('states~unquestionably',)
law~states~unquestionably	('law~states~unquestionably',)
benford's~law~states~unquestionably	("benford's~law~states~unquestionably",)
applies	('applies',)
applies~that	('that~applies',)
applies~states~that	('states~that~applies',)
applies~law~states~that	('law~states~that~applies',)
in~to	('in~to', 'to~in')
in~that~to	('that~in~to',)
in~states~that~to	('states~that~in~to',)
many	('many',)
listings~many	('listings~many',)
listings~many~that	('that~listings~many',)
situations	('situations',)
situations~tables	('tables~situations',)
listings~situations~tables	('listings~tables~situations',)
in~of	('of~in', 'in~of')
in~of~tables	('tables~of~in',)
in~listings~of~tables	('listings~tables~of~in',)
statistics~the	('statistics~the', 'the~statistics')
of~statistics~the	('of~statistics~the', 'of~the~statistics')
of~statistics~tables~the	('tables~of~statistics~the',)
real	('real',)
etc~real	('etc~real',)
etc~real~statistics	('statistics~etc~real',)
etc~of~real~statistics	('of~statistics~etc~real',)
world	('world',)
a~digit	('digit~a',)
a~digit~the	('the~digit~a',)
a~digit~etc~the	('etc~the~digit~a',)
satisfactory	('satisfactory',)
satisfactory~tends	('tends~satisfactory',)
digit~satisfactory~tends	('digit~tends~satisfactory',)
digit~satisfactory~tends~the	('the~digit~tends~satisfactory',)
explanation	('explanation',)
explanation~to	('to~explanation',)
explanation~tends~to	('tends~to~explanation',)
digit~explanation~tends~to	('digit~tends~to~explanation',)
has	('has',)
has~occur	('occur~has',)
has~occur~to	('to~occur~has',)
has~occur~tends~to	('tends~to~occur~has',)
been	('been',)
been~with	('with~been',)
been~occur~with	('occur~with~been',)
been~occur~to~with	('to~occur~with~been',)
given~probability	('probability~given', 'given~probability')
given~probability~with	('with~probability~given',)
given~occur~probability~with	('occur~with~probability~given',)
only	('only',)
much~only	('much~only',)
much~only~probability	('probability~much~only',)
much~only~probability~with	('with~probability~much~only',)
recently	('recently',)
greater~recently	('greater~recently',)
greater~much~recently	('much~greater~recently',)
greater~much~probability~recently	('probability~much~greater~recently',)
through	('through',)
than~through	('than~through',)
